stt,cau_hoi_mau,loai,chatbot_module,backend_module,tool,tham_so_chinh,ghi_chu
1,"Hợp đồng ABC có chủ đầu tư là ai, hạng mục gì?",chi_tiet,tiendo,core/hopdong,hopdong_search,query,"Tra 1 hợp đồng cụ thể theo từ khóa/mã"
2,"Tìm các hợp đồng có từ khóa X",chi_tiet,tiendo,core/hopdong,hopdong_search,query,"Danh sách phân trang, tối đa 20 bản ghi"
3,"Tổng quan hợp đồng hiện nay thế nào (bao nhiêu hợp đồng, tỷ lệ hoàn thành chung)?",tong_quan,tiendo,core/hopdong,hopdong_tongquan,(không tham số),"Trả tongHopDong, tyLeHoanThanh, soHopDongChamTienDo, soHopDongVuongMac..."
4,"Bao nhiêu hợp đồng đang chậm tiến độ / đang có vướng mắc mở?",tong_quan,tiendo,core/hopdong,hopdong_tongquan,(không tham số),"Lấy field soHopDongChamTienDo / soHopDongVuongMac trong response tổng hợp"
5,"Khu vực 123 có bao nhiêu trạm đang thi công/hoàn thành/vướng mắc?",phan_tich,tiendo,core/hopdong,hopdong_trangthai_theo_khuvuc,khuVuc,"Đếm theo trạng thái thi công trong 1 khu vực"
6,"Chương trình GCCC ở khu vực 123 đang ở đâu rồi?",phan_tich,tiendo,core/hopdong,hopdong_theo_loai_khuvuc,"loaiHopDong, khuVuc","Lọc đồng thời theo loại hợp đồng + khu vực"
7,"Sản lượng tổng trong tháng này là bao nhiêu?",tong_quan,tiendo,business/sanluong,sanluong_tonghop,"tuNgay, denNgay","Mặc định 30 ngày gần nhất nếu không nêu rõ"
8,"Sản lượng hôm nay bao nhiêu?",tong_quan,tiendo,business/sanluong,sanluong_tonghop,"tuNgay, denNgay","Lấy field todayTotal trong response"
9,"Sản lượng kỳ này tăng/giảm bao nhiêu % so với kỳ trước?",phan_tich,tiendo,business/sanluong,sanluong_tonghop,"tuNgay, denNgay","Lấy field periodGrowthPercent"
10,"Sản lượng trung bình mỗi đối tượng là bao nhiêu?",phan_tich,tiendo,business/sanluong,sanluong_tonghop,"tuNgay, denNgay","Lấy field averagePerDoiTuong"
11,"Sản lượng thực tế so với KPI hợp đồng ABC có đạt không?",phan_tich,tiendo,"core/hopdong + business/sanluong","hopdong_search; sanluong_tonghop","query; tuNgay/denNgay","Đối chiếu 2 tool trong cùng agent tiendo (đã gộp theo prompt tiendo.txt)"
12,"Danh sách phân công theo cán bộ/trạm/hạng mục X",chi_tiet,nhansu,business/phancong,phancong_search,query,"Phân trang, mặc định 20 dòng"
13,"Tổng quan phân công hiện nay, bao nhiêu đang hoạt động, theo khu vực/tỉnh thành nào?",tong_quan,nhansu,business/phancong,phancong_tongquan,(không tham số),"Trả tongPhanCong, tongHoatDong, theoKhuVuc, theoTinhThanh"
14,"Cán bộ Nguyễn Văn A đang phụ trách những trạm/hạng mục nào?",chi_tiet,nhansu,business/phancong,phancong_theo_canbo,tenCanBo,"Chỉ cần danh sách phân công, không cần đối chiếu vướng mắc"
15,"Cán bộ Nguyễn Văn A đang phụ trách bao nhiêu trạm, trạm nào đang vướng mắc?",phan_tich,nhansu,business/phancong,phancong_tram_theo_canbo,tenCanBo,"Trả kèm field coVuongMacMo cho từng phân công, gộp sẵn dữ liệu vướng mắc"
16,"Tổng quan nguồn lực/nguồn việc đang triển khai hiện nay",tong_quan,nhansu,business/nguonluc,nguonluc_tongquan,(không tham số),"Trả tongHopDong, tongSanLuong, tongDangTrienKhai..."
17,"Top 5 hợp đồng có nhiều vướng mắc nhất (theo góc nhìn rủi ro nguồn lực)",xep_hang,nhansu,business/nguonluc,hopdong_top,"metric=vuong, top","metric: vuong|huy|sanluong_thap|at_risk"
18,"Hợp đồng nào có nhiều đối tượng/hạng mục bị hủy nhất?",xep_hang,nhansu,business/nguonluc,hopdong_top,"metric=huy, top","Xếp hạng theo số đối tượng đã hủy"
19,"Hợp đồng nào có tỷ lệ thực hiện sản lượng thấp nhất (ì ạch nhất)?",xep_hang,nhansu,business/nguonluc,hopdong_top,"metric=sanluong_thap, top","Xếp theo tỷ lệ sản lượng thực hiện/giá trị hợp đồng"
20,"Hợp đồng nào đang vướng pháp lý, rủi ro cao nhất?",xep_hang,nhansu,business/nguonluc,hopdong_top,"metric=at_risk, top","Lọc status vuong_phap_ly, xếp theo số vướng mắc"
21,"Tốc độ hoàn thành trạm theo khu vực trong 7 ngày gần đây, khu vực nào đang chậm hơn trung bình?",phan_tich,nhansu,business/nguonluc,nguonluc_toc_do_hoan_thanh,"nhom=khuvuc, soNgay","So sánh với tốc độ trung bình hệ thống (field soVoiTrungBinhHeThongPercent), KHÔNG phải so với hạn hợp đồng"
22,"Nhà thầu nào đang có tốc độ hoàn thành nhanh/chậm nhất?",phan_tich,nhansu,business/nguonluc,nguonluc_toc_do_hoan_thanh,"nhom=nhathau, soNgay","Breakdown theo nhà thầu/cán bộ thay vì khu vực"
23,"Trạm/vướng mắc chứa từ khóa X",chi_tiet,vanhanh,business/vuongmac,vuongmac_search,query,"Không dùng để đếm/tổng hợp"
24,"Tình hình vướng mắc chung ra sao (bao nhiêu đang mở, đang chờ, quá hạn 30 ngày)?",tong_quan,vanhanh,business/vuongmac,vuongmac_tongquan,(không tham số),"Trả total, pending, inProgress, resolved, rejected, overdue30Days, countsByKieu"
25,"Top 5 hợp đồng đang có nhiều vướng mắc/sự cố mở nhất",xep_hang,vanhanh,business/vuongmac,vuongmac_top_hopdong,top,"Xếp hạng thuần theo số vướng mắc đang mở, không phải tổng hợp theo loại"
26,"Những vướng mắc nào đã quá hạn 30 ngày chưa xử lý?",phan_tich,vanhanh,business/vuongmac,vuongmac_qua_han,soNgay,"Danh sách tối đa 20 bản ghi kèm trạm/hợp đồng liên quan, ngày tạo"
27,"Tìm trạm BTS theo mã/tên/khu vực X",chi_tiet,vanhanh,business/tramton,tramton_search,query,"Phân trang tối đa 20 bản ghi, không dùng để đếm"
28,"Tổng quan trạm tồn hiện nay, phân theo lý do và thời gian tồn (aging)?",tong_quan,vanhanh,business/tramton,tramton_tongquan,(không tham số),"Trả tongSoTram, giaTriTon, aging[], reasons[]"
29,"Trạm nào lâu rồi không cập nhật tiến độ, có nguy cơ bị bỏ quên?",phan_tich,vanhanh,business/tramton,tramton_thieu_capnhat,soNgay,"Đã khởi công nhưng chưa hoàn thành, quá N ngày (mặc định 7) không có sản lượng mới"
30,"Trạm nào có sản lượng vượt ngưỡng bất thường so với hệ số hợp đồng?",phan_tich,vanhanh,business/tramton,tramton_sanluong_bat_thuong,(không tham số),"Tối đa 20 bản ghi, trạm sản lượng cao nhất lên đầu"
31,"Hôm nay là ngày bao nhiêu / thứ mấy?",ho_tro,"tiendo/nhansu/vanhanh (dùng chung)",common,thoigian_hientai,(không tham số),"BẮT BUỘC gọi trước khi module tự quy đổi mốc thời gian tương đối (tháng này/tuần trước...)"
32,"Cho tôi tình hình chung hôm nay / báo cáo nhanh đầu ngày",tong_quan_cheo_module,"tiendo + nhansu + vanhanh","core/hopdong + business/sanluong + business/phancong + business/nguonluc + business/vuongmac + business/tramton","hopdong_tongquan; sanluong_tonghop; phancong_tongquan; nguonluc_tongquan; vuongmac_tongquan; tramton_tongquan",(mặc định),"Orchestrator chọn cả 3 module, responder tổng hợp thành digest điều hành"
33,"Trạm nào đang vướng mắc mà thiếu nhân lực xử lý?",phan_tich_cheo_module,"vanhanh + nhansu","business/vuongmac + business/phancong hoặc business/nguonluc","vuongmac_search/vuongmac_tongquan; phancong_tram_theo_canbo hoặc nguonluc_tongquan",query/tenCanBo,"Đối chiếu trạm có vướng mắc mở với trạm chưa phân công/thiếu nguồn lực theo mã trạm"
